Nombre,Categoría,Stock,Precio
24D 72 SL 18 LITROS,TECUN,0,Q586.00
24D 72 SL GALON,Tecun,0,Q115.00
24D 72 SL LITRO,TECUN,0,Q28.00
All Trompa 100 gr,Wellco,55,Q25.00
All Trompa 454 gr,Wellco,83,Q55.00
Anorak 60 EC litro,Agroquímicos,20,Q270.00
Anticion anticonceptivo,Otros,360,Q19.00
ARETE 1 PIEZA - undefined,INCUBADORAS,0,Q0.00
ARETE 1 PIEZA - undefined,INCUBADORAS,0,Q0.00
ARETE 1 PIEZA - undefined,INCUBADORAS,0,Q0.00
ARETE 1 PIEZA - undefined,INCUBADORAS,0,Q0.00
ARETE 1 PIEZA - undefined,INCUBADORAS,0,Q0.00
ARETE 1 PIEZA - undefined,INCUBADORAS,0,Q6.75
ARETE 1 PIEZA - undefined,INCUBADORAS,0,Q6.74
ARETE 1 PIEZA - undefined,INCUBADORAS,0,Q6.74
ARETE 1 PIEZA - undefined,INCUBADORAS,0,Q6.73
ARETE 1 PIEZA - undefined,INCUBADORAS,0,Q6.75
ARETE 1 PIEZA - undefined,INCUBADORAS,0,Q6.75
ARETE 1 PIEZA - undefined,INCUBADORAS,0,Q6.73
ARETE 2 PIEZAS - undefined,INCUBADORAS,0,Q0.00
ARETE 2 PIEZAS - undefined,INCUBADORAS,0,Q0.00
ARETE 2 PIEZAS - undefined,INCUBADORAS,0,Q0.00
ARETE 2 PIEZAS - undefined,INCUBADORAS,0,Q0.00
ARETE 2 PIEZAS - undefined,INCUBADORAS,0,Q0.00
ARETE 2 PIEZAS - undefined,INCUBADORAS,0,Q0.00
ARETE 2 PIEZAS - undefined,INCUBADORAS,0,Q6.75
ARETE 2 PIEZAS - undefined,INCUBADORAS,0,Q6.75
ARETE 2 PIEZAS - undefined,INCUBADORAS,0,Q6.75
Azotela Max 85,Agroquímicos,3,Q82.50
BEBEDEROS PARA AVES CON PATAS - undefined,INCUBADORAS,-17,Q55.00
BEBEDEROS PARA AVES CON PATAS - undefined,INCUBADORAS,-12,Q72.00
BEBEDEROS PARA AVES TIPO CAMPANA - undefined,INCUBADORAS,-24,Q14.00
BEBEDEROS PARA AVES TIPO CAMPANA - undefined,INCUBADORAS,-45,Q24.00
BEBEDEROS PARA AVES TIPO CAMPANA - undefined,INCUBADORAS,0,Q37.00
BEBEDEROS PARA AVES TIPO CAMPANA - undefined,INCUBADORAS,0,Q43.00
BEBEDEROS PARA AVES TIPO CAMPANA - undefined,INCUBADORAS,-6,Q59.00
BEBEDEROS PARA AVES TIPO CAMPANA - undefined,INCUBADORAS,-6,Q65.00
Bioxil 7% 500ml,Biozoo,8,Q143.00
blindage 60 FS,Tecun,310,Q97.00
Borogluconato de calcio 250 ml,Insumos Modernos,12,Q35.00
Broncobion maxx 30 ml,Otros,267,Q22.00
Broncowell 100 gr,Wellco,232,Q35.00
Broximicina 100 gr,Mallo,137,Q63.00
Caja oxyfarm 20 grs,Wellco,12,Q250.00
CEGAR 15 SL GALON,Agroquímicos,8,Q174.00
Cegar 15 SL litro,Agroquímicos,17,Q48.00
Certero 48 sc,Agroquímicos,10,Q110.00
certero 48 SC litro,Tecun,0,Q432.00
certero duo 48 SC ,Agroquímicos,13,Q85.00
Chemi stress 100gr,Agroquímicos,54,Q20.00
Chemiestress 10gr,Sistemas Agropecuarios,227,Q7.50
Cipermetrina 25 EC 100ml,Tecun,14,Q13.50
Cipermetrina 25 EC 1LT,Tecun,18,Q65.00
Cipermetrina 25 EC 250,Tecun,65,Q20.84
cipermetrina 25 EC 500ml,Tecun,0,Q39.55
COMEDERO PARA AVES TIPO CAMPANA - undefined,INCUBADORAS,-72,Q14.00
COMEDERO PARA AVES TIPO CAMPANA - undefined,INCUBADORAS,0,Q29.00
COMEDERO PARA AVES TIPO CAMPANA - undefined,INCUBADORAS,-15,Q39.00
COMEDERO PARA AVES TIPO CAMPANA - undefined,INCUBADORAS,0,Q54.00
COMEDERO TIPO CAMPANA NARANJA - undefined,INCUBADORAS,0,Q19.00
COMEDERO TIPO CAMPANA NARANJA - undefined,INCUBADORAS,0,Q34.00
COMEDERO TIPO CAMPANA NARANJA - undefined,INCUBADORAS,0,Q55.00
Cori plus 100 gr,Sistemas Agropecuarios,169,Q35.25
Coriplus 10 gr,Sistemas Agropecuarios,443,Q9.25
CPF 2DP,Tecun,260,Q9.75
CPF 48 EC 500ML,Tecun,0,Q31.00
CPF 48 EC LITRO,Tecun,8,Q72.00
CRECEBEST 100ML,Agroquímicos,28,Q78.00
CRECEBEST 500ML,Agroquímicos,29,Q277.50
Curabichera 400 ml,Sistemas Agropecuarios,132,Q65.00
Defender 100 ml,Wellco,31,Q69.00
Defender 10ml,Wellco,95,Q18.00
Defender 50 ml,Wellco,82,Q45.50
DIMAXINE 72 SL CANECA,Agroquímicos,25,Q578.00
Dimaxine 72 SL litro,Agroquímicos,6,Q39.80
Dipiron 500 30 ml,Lavet,72,Q28.00
Ectogan Pipeta Spot on,Insumos Modernos,0,Q16.00
Ectogan pour On LITRO,Insumos Modernos,35,Q170.00
Electrolitos y Vitaminas 100 gr,Mallo,695,Q15.00
Electrolitos y Vitaminas 20 gr,Mallo,260,Q8.00
Enrotil 100gr ,Agroquímicos,22,Q63.00
Enrotil 10gr,Sistemas Agropecuarios,4,Q13.00
Enrotil 25ml,Sistemas Agropecuarios,28,Q23.00
Farma-tecnimicina 100ml,Tecniagro,66,Q39.75
Farma-Tecnimicina 50ml,Tecniagro,53,Q28.75
Farma-tecnimicina LA 100ml,Tecniagro,15,Q60.00
Farma-tecnimicina LA 50ml,Tecniagro,9,Q44.00
Ferradox plus 10 ml,Wellco,73,Q21.50
Ferradox plus 100 ml,Wellco,16,Q71.50
FOLIAR PLUS,Foragro,17,Q38.50
foranex 25.7,Foragro,60,Q85.00
forza 60 WP,Foragro,442,Q45.50
Ganazoo DP 20ml,Biozoo,13,Q50.25
GLUFOSIN 15 SL CANECA,TECUN,0,Q561.00
GLUFOSIN 15 SL GALON,TECUN,0,Q150.00
GLUFOSIN 15 SL LITRO ,Agroquímicos,0,Q53.00
GLUFOSIN 20 SL CANECA,TECUN,0,Q600.00
GLUFOSIN 20 SL GALON,Agroquímicos,0,Q157.00
GLUFOSIN 20 SL LITRO,TECUN,0,Q52.00
Impacto spray 263 gr,Botica Ganadera,175,Q66.00
Instavit 500ml,Agronorsa,50,Q210.00
Iverplus la 100 ml 1%,Tecniagro,10,Q42.75
Iverplus La 10ml 1%,Tecniagro,40,Q12.00
Iverplus La 500ml 1%,Tecniagro,14,Q94.00
Jabón PET Gold Barra,Mallo,5,Q20.00
JB Matagusano,Botica Ganadera,140,Q70.00
Jeringa 1 ml 100U,Botica Ganadera,8,Q100.00
Jeringa 10ml 100U,Botica Ganadera,6,Q95.00
Jeringa 3 ml 100U,Botica Ganadera,0,Q65.00
Jeringa 5 ml 100U,Botica Ganadera,11,Q65.00
Kaindor plus 30 SC litro,Agroquímicos,11,Q350.00
KILLER 36 SL 20 LITROS,TECUN,0,Q646.00
KILLER 36 SL 500 ML,TECUN,0,Q27.30
KILLER 36 SL LITRO,TECUN,0,Q41.60
Labimin 500 ml,Lavet,37,Q75.00
Lannate 100 ml,Duwest,83,Q27.00
Lasonate 90 SP 100 gr,Agroquímicos,53,Q25.00
Leñador 16 EW galón,Agroquímicos,10,Q575.00
Lombrifin 10 gr,Sistemas Agropecuarios,720,Q7.25
Lombrifin 100 gr,Sistemas Agropecuarios,135,Q25.00
Mielita Vip,Otros,20,Q225.00
mirex 250 grs,Duwest,10,Q35.50
mirex 500 grs,Duwest,50,Q59.00
Multipack 26 52 15 gr,Avindustrias,62,Q22.50
Multipack 26/52 150 gr,Avindustrias,39,Q140.20
Neocan 120ml,Wellco,0,Q18.25
Neocan 240ml,Wellco,63,Q29.75
Nexlabet LA 15-30kg,Sistemas Agropecuarios,44,Q95.00
Nexlabet LA 30.1-60kg,Sistemas Agropecuarios,15,Q110.00
Nexlabet LA 7.6-15kg,Sistemas Agropecuarios,28,Q85.00
NOCAUT 304 SL 20 LT,TECUN,0,Q746.00
NOCAUT 304 SL 3.5 LTS,TECUN,0,Q160.00
Nuvan 100ml,Agronorsa,64,Q68.75
Nuvan 1L,Agronorsa,10,Q415.00
Oxiplus Vitaminado 10 gr,Sistemas Agropecuarios,592,Q7.25
Oxiplus Vitaminado 100 gr,Sistemas Agropecuarios,179,Q25.00
Oxiplus vitaminado 25 gr,Agroquímicos,40,Q20.00
Oxitetraciclina plus 100 ml,Insumos Modernos,97,Q42.50
Oxitetraciclina plus 10ml,Insumos Modernos,226,Q15.50
Oxitetraciclina plus 250ml,Insumos Modernos,79,Q94.00
Oxitetraciclina plus 50ml,Insumos Modernos,107,Q27.50
Oxitocina 10ml,Insumos Modernos,212,Q15.50
Oxyfarm con electrolitos 100 gr,Wellco,107,Q25.00
Oxyfarm inyectable 10 ml,Wellco,62,Q14.50
Oxyfarm inyectable 100 ml,Wellco,19,Q49.25
Oxyfarm inyectable 250 ml,Wellco,99,Q74.00
Oxyfarm inyectable 50ml,Wellco,54,Q32.50
PARAQUAT 20 SL 18 LT,TECUN,0,Q486.00
PARAQUAT 20 SL 5 LITROS,TECUN,0,Q150.00
PARAQUAT 20 SL GALON,TECUN,0,Q115.00
PARAQUAT 20 SL LITRO,Tecun,0,Q35.00
PIKUDO 20 SC,Foragro,272,Q58.00
Podador 60 WG 10X10gr,Agroquímicos,63,Q45.00
POTER 90 WG 400GRS,TECUN,0,Q27.95
POTER 90 WG 800 GR,TECUN,0,Q58.50
Proteizoo plus 20ml,Biozoo,103,Q14.25
Proteizoo Plus 250ml,Biozoo,12,Q120.00
Pujantex 250 ml,Wellco,3,Q75.00
PUYA ELECTRICAS RECARGABLE  - undefined,INCUBADORAS,0,Q850.00
PUYA ELECTRICAS RECARGABLE  - undefined,INCUBADORAS,0,Q800.00
Rata Quilla Sb caja,Agrosona,140,Q97.00
Revolver 36 5 SL litro,Agroquímicos,16,Q42.00
Sana Soco RS 100gr,Sistemas Agropecuarios,1,Q77.00
Sana Soco RS 25ml,Sistemas Agropecuarios,6,Q22.00
Semental 165 SL litro,Agroquímicos,17,Q35.00
semevin 36 FS,Tecun,554,Q58.50
SEMEVIN 36 FS LITRO,TECUN,6,Q443.00
Shampoo Pets 250ml,Mallo,13,Q17.00
Simparica trio 5-10kg,Mallo,12,Q116.00
Socofin BD 100 gr,Sistemas Agropecuarios,172,Q62.75
Socofin BD 10gr,Sistemas Agropecuarios,386,Q13.00
Socofin BD 25gr,Sistemas Agropecuarios,0,Q22.00
Socofin drog 10 ml,Sistemas Agropecuarios,806,Q13.50
Socofin drog 25 ml,Sistemas Agropecuarios,63,Q21.25
Terraquat 20 SL galón,Agroquímicos,14,Q121.75
Tigent 100ml,Biozoo,50,Q145.00
Tigent 20 ml,Biozoo,5,Q37.00
Tilosin 10 ml,Sistemas Agropecuarios,849,Q14.50
Tilosin 100 mL,Sistemas Agropecuarios,196,Q73.00
Tilosin 25 ml,Sistemas Agropecuarios,1,Q22.50
TILOSIN PLUS 10 GR,Agroquímicos,189,Q14.00
TILOSIN PLUS 100GR,Agroquímicos,142,Q63.00
tilosin plus 25 gr,Sistemas Agropecuarios,7,Q20.00
TITAN 80 WP 800GRS,Agroquímicos,0,Q46.80
Torban 30 4 SL litro,Agroquímicos,5,Q240.00
Trimsulfa plus 100 gr,Avindustrias,110,Q35.25
Trimsulfa Plus 15 gr,Avindustrias,255,Q9.25
vayego 20 SC,Agroquímicos,1,Q312.00
VERETA 4 SC 3.5 LITROS,TECUN,0,Q162.50
VERETA 4 SC LITRO,Tecun,16,Q53.00
Vermimax plus 100 Tabletas,Mallo,7,Q275.00
verrugan 20 ml,Insumos Modernos,19,Q25.00
verrugan plus 30 ml,Insumos Modernos,35,Q32.50
Vita B12 con fósforo 250 ml,Wellco,72,Q115.00
Vita vet Plus 100 gr,Sistemas Agropecuarios,252,Q23.00
Vita vet plus 10gr,Sistemas Agropecuarios,1246,Q7.50
Vitel 100 gr,Avindustrias,121,Q35.00
Vitel 15 gr,Avindustrias,456,Q8.50
YERBATRON 165 SL 20 LITROS,TECUN,0,Q467.00
YERBATRON 165 SL 200 LITROS,TECUN,0,Q4495.00
YERBATRON 165 SL 3.5 LITROS,TECUN,0,Q97.00
YERBATRON 165 SL LITRO,TECUN,0,Q34.00
